,CountryName,CityName,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Cappuccino (regular),Cigarettes 20 Pack (Marlboro),One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1 mile (Normal Tariff),Gasoline (1 gallon),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","International Primary School, Yearly for 1 Child",Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Feet to Buy Apartment in City Centre,Price per Square Feet to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",Level of crime,Skill and competency of medical staff,Air Pollution,Drinking Water Pollution and Inaccessibility,Dissatisfaction with Green and Parks in the City,Quality of Life Index:,Traffic Index:,id
47,United Kingdom,Southampton,12.8,58.56,6.68,3.23,13.8,2.45,61.35,3.18,2.49,6.56,27049.61,259.34,38.76,1003.9,26770.75,860.85,826.13,2035.69,1208.4,414.51,365.81,2459.56,4.55,58.9,73.08,33.93,22.22,22.22,169.38,112.3,United KingdomSouthampton
48,Bolivia,Cochabamba,2.89,17.35,7.23,2.63,2.89,0.29,0.0,1.45,2.33,2.06,13951.24,18.82,59.09,174.28,3125.66,272.97,180.72,511.79,412.61,96.21,60.12,503.11,7.88,70.73,43.18,73.61,64.58,50.0,104.61,97.59,BoliviaCochabamba
49,Bolivia,La Paz,2.89,20.96,6.51,2.58,2.57,0.43,31.08,1.45,2.91,2.07,15902.97,42.15,47.41,206.88,3968.51,272.28,223.65,468.05,429.58,119.1,91.69,499.58,8.0,59.78,45.83,65.79,56.25,66.67,79.83,269.79,BoliviaLa Paz
50,Mexico,La Paz,13.42,59.68,5.42,2.24,3.22,0.52,11.94,1.99,2.4,4.05,29837.61,63.19,26.51,124.32,2685.38,360.54,186.49,870.26,447.47,82.0,43.89,377.94,9.0,59.78,45.83,65.79,56.25,66.67,79.83,269.79,MexicoLa Paz
51,Bosnia And Herzegovina,Banja Luka,5.01,23.78,3.51,0.96,3.0,0.9,25.04,1.0,1.21,5.12,17024.43,146.44,18.44,107.38,1151.65,246.19,171.08,386.67,280.96,149.95,108.91,500.07,4.81,32.72,42.42,53.03,41.41,40.15,133.13,72.61,Bosnia And HerzegovinaBanja Luka
52,Bosnia And Herzegovina,Mostar,4.76,25.66,4.51,1.38,3.0,1.0,28.17,1.5,0.81,5.03,20028.74,121.4,23.71,161.16,2603.28,195.28,129.57,347.15,237.55,115.91,88.38,595.32,3.58,38.89,70.83,13.46,15.38,30.77,159.58,74.13,Bosnia And HerzegovinaMostar
53,Bosnia And Herzegovina,Sarajevo,5.01,25.04,4.51,1.4,3.0,0.85,26.54,1.0,0.97,6.07,20028.49,143.73,23.27,172.01,3081.34,266.67,179.56,468.17,298.66,180.23,110.04,694.27,3.29,49.49,57.29,75.0,27.58,57.14,124.62,104.71,Bosnia And HerzegovinaSarajevo
54,Bosnia And Herzegovina,Trebinje,3.51,19.53,3.25,0.96,3.0,0.75,15.02,1.0,0.81,3.99,16774.07,108.49,18.44,80.11,1151.65,150.22,113.5,244.1,178.59,110.09,75.67,680.98,4.47,10.0,58.33,0.0,6.25,6.25,194.46,29.75,Bosnia And HerzegovinaTrebinje
55,Bosnia And Herzegovina,Tuzla,3.51,24.03,5.01,1.1,3.0,1.0,25.04,1.0,0.81,5.25,20030.24,146.46,18.96,125.18,3588.48,193.61,144.65,297.3,262.88,132.91,88.97,469.42,3.14,46.25,50.0,89.06,34.62,35.42,109.19,116.48,Bosnia And HerzegovinaTuzla
56,Botswana,Gaborone,11.23,33.7,5.8,2.47,4.12,0.49,21.12,0.52,3.62,3.72,17974.44,45.3,45.64,150.91,4268.93,247.9,201.28,667.8,433.45,126.11,3131.0,700.79,9.96,61.72,63.46,32.89,38.16,70.59,25.48,127.22,BotswanaGaborone
